Report generated on: 03-06-2023 12:08:31
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-CRI-TBPD.A","        Costa Rica","","","","","","","","0","0","0","0","0","0","-0.2","-0.1","-0.1","-0.2","-0.2","-0.2","-0.2","-0.3","-0.1","-0.3","-0.3","-0.3","0","0","-0.00012561150273224","0.0713765502794521","0.477792393183562","0.729212069183562","1.023","1.877","1.856","2.637","2.3118","1.2225","-0.0926","-0.0327","1.259","1.324","1.331","1.479","1.571","0.4","0.4","0.4","0.4","0.4"
"INTL.53-1-HRV-TBPD.A","        Croatia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","41","43.053","47.3","41.7","37.9","38.2","40.2","33.4","33.41746741171038","32.40940407304658","31.22240888633425","31.33015499807671","28.77763387978142","27.690534246575343","25.62868493150685","23.835613698630137","21.962566666666667","23.93752191780822","23.040261643835617","20.706254794520547","19.907933333333332","19.733260273972604","19.200430136986302","17.77737808219178","17.554367213114755","17.96293698630137","17.979080821917808","17.614609589041095","15.824026229508197","15.50205566854541"
"INTL.53-1-CUB-TBPD.A","        Cuba","","","","","","","","6","9","11","13","16","19","17","17","13","13","12","12","16","19.9","24.1","25.767123287671232","31.2","32.9","34.3","40.8","43.87799094147544","51.462379943638375","48.543994153009315","56.27551830410411","59.213","53.455","54.25","53.30523287671233","52.774","48.638","58.755","59.719","59.615","57.855","58.56","53.763","48.376","47.008","45.99","40.969","39.468300546448084","36.82968150485937"
"INTL.53-1-CYP-TBPD.A","        Cyprus","","","","","","","","0","0","0","0","0","0","0.0194789579452054","-0.0147335736068493","-0.0112737022909837","0.0226569510315068","0.0465942273342465","-0.0344916283068494","-0.1","-0.2","-0.1","-0.2","0","-0.3","-0.3","-0.4","-0.36403034536612","-0.356835959665753","-0.258762477715068","-0.191359223515721","-0.073","0.02","0.02","0.02","0.2","0.2","0.11","0.13","0.13","0.04","0.03","0","0.01","0","0","0","0","0"
"INTL.53-1-CZE-TBPD.A","        Czechia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","2.488","2.8","3.9","5.3","4.6","4.6","9.56027397260274","9.362426229508197","9.2454602739726","12.475347945205481","15.345887671232877","17.167136612021856","17.544068493150686","16.089369863013697","13.743698630136986","11.454468306010929","9.866409589041096","15.133480821917809","15.578431506849315","15.9663","13.6034","16.8684","16.119716438356168","14.203233333333335","11.895604109589042","10.645402739726027","9.61106301369863","10.158422950819672","10.465743853218187"
"INTL.53-1-CIV-TBPD.A","        Côte d’Ivoire","","","","","","","","2","8","10","24","28","29","20","18","12","1.7","1.7","1.8","1.3","0.799986301369863","7.3","8.523287671232877","16.3","19.567123287671233","20.9","16","12.364666830229508","11.540633801320547","13.07470763368767","19.851584684147944","27.777","39.936","63.297","53.044","59.90072732240437","58.3908602739726","44.434876712328766","40.14944109589041","38.56130054644809","37.8395","36.8107","30.638501369863015","41.545090163934425","39.086376","38.04986","40.404989","37.795137365368845","34.10932295520694"
"INTL.53-1-DNK-TBPD.A","        Denmark","","","","","","","","5.3","15","34","44","46","58","76","97","99","117","121","144","163","174.18416438356164","185.57808219178082","187.27671232876713","210.02349726775955","233.2821917808219","240.65342465753426","302.58082191780824","365.17927049180327","348.9895835616438","373.4323589041096","378.40922465753425","392.74527322404373","380.7835698630137","345.75681369863014","315.2797123287671","290.37988797814205","263.95368493150687","248.9426301369863","224.67004520547945","205.5172830601093","179.55966712328768","169.16411232876712","161.53717534246576","142.36401202185792","140.63677262750826","118.71567129569841","105.47567310275623","76.5282943567129","69.46091961319019"
"INTL.53-1-DJI-TBPD.A","        Djibouti","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-DMA-TBPD.A","        Dominica","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-DOM-TBPD.A","        Dominican Republic","","","","","","","","1","1","1","1","1","1","-0.2","0.0435133825863016","0.0371532626000001","0.0904710671232876","-0.1","-0.2","-0.9","-0.5","-0.4","-1","-0.9","-1","-1","-0.4","-0.154269661311475","-0.0947265027068492","-0.0670248840109591","0.0119472391013699","-0.449","-0.389","-0.309","-0.392","-0.255","0.03028","-0.0348","-0.0851","-0.08339999999999999","-0.0868","-0.0296","-0.08990000000000001","-0.0872","-0.0909","-0.0919","-0.0932","-0.0881","-0.0963548539537009"
"INTL.53-1-ECU-TBPD.A","        Ecuador","208.78082191780823","177.04109589041096","160.85753424657534","187.52732240437157","183.39989315068493","201.7890410958904","214.06849315068493","204.15300546448088","211.16438356164383","210.86301369863014","237.12328767123287","257.92349726775956","281.24383561643833","293.2739726027397","174.0958904109589","302.1530054644809","278.7972602739726","285.041095890411","299.06575342465754","320.99954918032785","348.52054794520546","369.9205479452055","395.827397260274","397.87814207650274","389.44520547945206","376.2986301369863","374.04383561643834","396.31137048834427","412.5113080865644","392.7185921789535","411.3417693434082","531.0057021857923","534.7554","538.3887643835617","512.6899863013699","507.75770218579237","488.509197260274","489.1028767123288","502.13402191780824","507.6430792349727","531.0234082191781","561.5420575342466","548.3688410958904","552.4072295081967","535.2252876712329","521.081266230137","533.8516893671233","482.3388239071038","475.64128717780295"
